Time (s),Delta_n (m)
0.039900000000000005,0.002496799831746654
0.04,0.0025029235785639266
0.040100000000000004,0.002509046324211801
0.0402,0.0025151680662411796
0.0403,0.002521288802203365
0.040400000000000005,0.002527408529650064
0.0405,0.002533527246133383
0.040600000000000004,0.0025396449492058387
0.0407,0.002545761636420348
0.0408,0.0025518773053302374
0.0409,0.0025579919534892376
0.041,0.0025641055784514917
0.041100000000000005,0.002570218177771548
0.0412,0.0025763297490043672
0.0413,0.002582440289705322
0.0414,0.0025885497974301942
0.0415,0.0025946582697351827
0.041600000000000005,0.0026007657041768983
0.0417,0.0026068720983123657
0.041800000000000004,0.0026129774496990296
0.0419,0.002619081755894747
0.042,0.0026251850144577986
0.042100000000000005,0.0026312872229468792
0.0422,0.002637388378921105
0.042300000000000004,0.002643488479940015
0.0424,0.002649587523563568
0.0425,0.002655685507352147
0.0426,0.0026617824288665583
0.0427,0.0026678782856680333
0.042800000000000005,0.00267397307531823
0.0429,0.0026800667953792317
0.043000000000000003,0.0026861594434135524
0.0431,0.0026922510169841295
0.0432,0.0026983415136543377
0.043300000000000005,0.002704430930987975
0.0434,0.002710519266549277
0.043500000000000004,0.0027166065179029075
0.0436,0.0027226926826139676
0.0437,0.0027287777582479904
0.0438,0.002734861742370947
0.0439,0.0027409446325492434
0.044000000000000004,0.002747026426349723
0.0441,0.002753107121339668
0.0442,0.002759186715086802
0.0443,0.0027652652051592857
0.0444,0.0027713425891257256
0.044500000000000005,0.0027774188645551664
0.0446,0.002783494029017098
0.044700000000000004,0.002789568080081455
0.0448,0.0027956410153186172
0.0449,0.002801712832299411
0.045000000000000005,0.0028077835285951085
0.0451,0.0028138531017774327
0.045200000000000004,0.0028199215494185545
0.0453,0.0028259888690910923
0.0454,0.0028320550583681215
0.0455,0.002838120114823164
0.0456,0.002844184036030199
0.045700000000000005,0.0028502468195636577
0.0458,0.0028563084629984266
0.0459,0.0028623689639098483
0.046,0.0028684283198737223
0.0461,0.002874486528466306
0.046200000000000005,0.0028805435872643176
0.0463,0.002886599493844933
0.046400000000000004,0.002892654245785789
0.0465,0.0028987078406649846
0.0466,0.0029047602760610834
0.046700000000000005,0.0029108115495531106
0.0468,0.002916861658720556
0.046900000000000004,0.0029229106011433776
0.047,0.002928958374401997
0.0471,0.0029350049760773064
0.0472,0.0029410504037506637
0.0473,0.002947094655003899
0.047400000000000005,0.0029531377274193116
0.0475,0.002959179618579673
0.0476,0.0029652203260682264
0.0477,0.002971259847468688
0.0478,0.0029772981803652516
0.047900000000000005,0.002983335322342582
0.048,0.0029893712709858234
0.048100000000000004,0.002995406023880596
0.0482,0.003001439578612999
0.0483,0.0030074719327696105
0.048400000000000006,0.0030135030839374896
0.0485,0.0030195330297041745
0.048600000000000004,0.003025561767657688
0.0487,0.0030315892953865354
0.0488,0.003037615610479705
0.0489,0.00304364071052667
0.049,0.003049664593117392
0.049100000000000005,0.0030556872558423175
0.0492,0.003061708696292381
0.049300000000000004,0.0030677289120590073
0.0494,0.003073747900734109
0.0495,0.003079765659910092
0.049600000000000005,0.003085782187179852
0.0497,0.0030917974801367783
0.049800000000000004,0.0030978115363747534
0.0499,0.0031038243534881557
